Diagnosis_Code,Description,CMS-HCC Model Category V28,Potential Co-existing Diagnoses
M459,Ankylosing spondylitis of unspecified sites in spine,93,M4639 (33%); P115 (31%); S329XXB (27%); S329XXA (27%); M868X9 (27%)
M45A0,Non-radiographic axial spondyloarthritis of unspecified sites in spine,93,M4639 (28%); P115 (27%); S329XXB (23%); S329XXA (23%); M868X9 (23%)
M45A1,Non-radiographic axial spondyloarthritis of occipito-atlanto-axial region,93,M4621 (74%); M4851XA (64%); M4631 (57%); C8385 (14%); C8595 (14%)
M45A2,Non-radiographic axial spondyloarthritis of cervical region,93,M4622 (34%); M4621 (33%); M4851XA (29%); M4631 (26%); M4852XA (24%)
M45A3,Non-radiographic axial spondyloarthritis of cervicothoracic region,93,M4623 (48%); M4853XA (38%); M4633 (32%); M4621 (30%); M4851XA (26%)
M45A4,Non-radiographic axial spondyloarthritis of thoracic region,93,M4624 (36%); M4621 (33%); M4851XA (28%); M4854XA (27%); M4631 (25%)
M45A5,Non-radiographic axial spondyloarthritis of thoracolumbar region,93,M4625 (48%); M4855XA (38%); M4635 (32%); M4621 (30%); M4851XA (26%)
M45A6,Non-radiographic axial spondyloarthritis of lumbar region,93,M4626 (37%); M4621 (33%); M4851XA (28%); M4856XA (27%); M4631 (25%)
M45A7,Non-radiographic axial spondyloarthritis of lumbosacral region,93,M4627 (47%); M4857XA (37%); M4637 (31%); M4621 (31%); M4851XA (27%)
M45A8,Non-radiographic axial spondyloarthritis of sacral and sacrococcygeal region,93,M4628 (58%); M4858XA (48%); M4638 (42%); L89152 (36%); L89153 (36%)
M45AB,Non-radiographic axial spondyloarthritis of multiple sites in spine,93,M4639 (36%); M868X0 (35%); M8789 (34%); C8388 (32%); M8669 (32%)
M4600,"Spinal enthesopathy, site unspecified",,
M4601,"Spinal enthesopathy, occipito-atlanto-axial region",,
M4602,"Spinal enthesopathy, cervical region",,
M4603,"Spinal enthesopathy, cervicothoracic region",,
M4604,"Spinal enthesopathy, thoracic region",,
M4605,"Spinal enthesopathy, thoracolumbar region",,
M4606,"Spinal enthesopathy, lumbar region",,
M4607,"Spinal enthesopathy, lumbosacral region",,
M4608,"Spinal enthesopathy, sacral and sacrococcygeal region",,
M4609,"Spinal enthesopathy, multiple sites in spine",,
M461,"Sacroiliitis, not elsewhere classified",,
M4620,"Osteomyelitis of vertebra, site unspecified",92,M4850XA (46%); C8510 (44%); M0890 (44%); C6990 (42%); C8190 (42%)
M4621,"Osteomyelitis of vertebra, occipito-atlanto-axial region",92,M4851XA (79%); M488X1 (78%); M451 (74%); M45A1 (74%); M45A2 (33%)
M4622,"Osteomyelitis of vertebra, cervical region",92,M4852XA (54%); M488X2 (46%); M452 (41%); M4854XA (38%); M4856XA (38%)
M4623,"Osteomyelitis of vertebra, cervicothoracic region",92,M4853XA (66%); M488X3 (62%); M453 (56%); M45A3 (48%); M4852XA (31%)
M4624,"Osteomyelitis of vertebra, thoracic region",92,M4854XA (56%); M488X4 (49%); S22018B (45%); S22038B (45%); S22018A (44%)
M4625,"Osteomyelitis of vertebra, thoracolumbar region",92,M4855XA (66%); M488X5 (62%); M455 (56%); M45A5 (48%); M4852XA (31%)
M4626,"Osteomyelitis of vertebra, lumbar region",92,M4856XA (57%); M488X6 (50%); S32018B (45%); S32038B (45%); S32018A (45%)
M4627,"Osteomyelitis of vertebra, lumbosacral region",92,M4857XA (65%); M488X7 (61%); M457 (55%); M45A7 (47%); M4852XA (32%)
M4628,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",92,M4858XA (73%); M488X8 (71%); M458 (66%); M45A8 (58%); L89152 (48%)
M4630,"Infection of intervertebral disc (pyogenic), site unspecified",92,C8510 (24%); M0890 (24%); C6990 (23%); C8190 (23%); C8290 (23%)
M4631,"Infection of intervertebral disc (pyogenic), occipito-atlanto-axial region",92,M488X1 (60%); M451 (57%); M45A1 (57%); M4851XA (56%); M45A2 (26%)
M4632,"Infection of intervertebral disc (pyogenic), cervical region",92,M488X2 (27%); M452 (24%); M4852XA (23%); K9402 (22%); K9422 (22%)
M4633,"Infection of intervertebral disc (pyogenic), cervicothoracic region",92,M488X3 (41%); M453 (38%); M4853XA (37%); M45A3 (32%); K9402 (20%)
M4634,"Infection of intervertebral disc (pyogenic), thoracic region",92,M488X4 (30%); M454 (27%); M4854XA (26%); M45A4 (22%); K9402 (21%)
M4635,"Infection of intervertebral disc (pyogenic), thoracolumbar region",92,M488X5 (41%); M455 (38%); M4855XA (37%); M45A5 (32%); K9402 (20%)
M4636,"Infection of intervertebral disc (pyogenic), lumbar region",92,M488X6 (30%); M456 (27%); M4856XA (26%); M45A6 (23%); K9402 (21%)
M4637,"Infection of intervertebral disc (pyogenic), lumbosacral region",92,M488X7 (40%); M457 (37%); M4857XA (36%); M45A7 (31%); S329XXB (21%)
M4638,"Infection of intervertebral disc (pyogenic), sacral and sacrococcygeal region",92,M488X8 (51%); M458 (48%); M4858XA (47%); M45A8 (42%); L89152 (35%)
M4639,"Infection of intervertebral disc (pyogenic), multiple sites in spine",92,M450 (42%); M45AB (36%); M459 (33%); M0889 (30%); M0899 (29%)
M4650,"Other infective spondylopathies, site unspecified",,
M4651,"Other infective spondylopathies, occipito-atlanto-axial region",,
M4652,"Other infective spondylopathies, cervical region",,
M4653,"Other infective spondylopathies, cervicothoracic region",,
M4654,"Other infective spondylopathies, thoracic region",,
M4655,"Other infective spondylopathies, thoracolumbar region",,
M4656,"Other infective spondylopathies, lumbar region",,
M4657,"Other infective spondylopathies, lumbosacral region",,
M4658,"Other infective spondylopathies, sacral and sacrococcygeal region",,
M4659,"Other infective spondylopathies, multiple sites in spine",,
M4680,"Other specified inflammatory spondylopathies, site unspecified",,
M4681,"Other specified inflammatory spondylopathies, occipito-atlanto-axial region",,
M4682,"Other specified inflammatory spondylopathies, cervical region",,
M4683,"Other specified inflammatory spondylopathies, cervicothoracic region",,
M4684,"Other specified inflammatory spondylopathies, thoracic region",,
M4685,"Other specified inflammatory spondylopathies, thoracolumbar region",,
M4686,"Other specified inflammatory spondylopathies, lumbar region",,
M4687,"Other specified inflammatory spondylopathies, lumbosacral region",,
M4688,"Other specified inflammatory spondylopathies, sacral and sacrococcygeal region",,
M4689,"Other specified inflammatory spondylopathies, multiple sites in spine",,
M4690,"Unspecified inflammatory spondylopathy, site unspecified",,
M4691,"Unspecified inflammatory spondylopathy, occipito-atlanto-axial region",,
M4692,"Unspecified inflammatory spondylopathy, cervical region",,
M4693,"Unspecified inflammatory spondylopathy, cervicothoracic region",,
M4694,"Unspecified inflammatory spondylopathy, thoracic region",,
M4695,"Unspecified inflammatory spondylopathy, thoracolumbar region",,
M4696,"Unspecified inflammatory spondylopathy, lumbar region",,
M4697,"Unspecified inflammatory spondylopathy, lumbosacral region",,
M4698,"Unspecified inflammatory spondylopathy, sacral and sacrococcygeal region",,
M4699,"Unspecified inflammatory spondylopathy, multiple sites in spine",,
M4850XA,"Collapsed vertebra, not elsewhere classified, site unspecified, initial encounter for fracture",401,M4620 (46%); M9050 (42%); M9058 (39%); C8440 (38%); S0269XB (36%)
M4851XA,"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, initial encounter for fracture",401,M4621 (79%); M488X1 (68%); M451 (64%); M45A1 (64%); M4631 (56%)
M4852XA,"Collapsed vertebra, not elsewhere classified, cervical region, initial encounter for fracture",401,M4622 (54%); M4624 (37%); M4626 (37%); M488X2 (33%); M4627 (32%)
M4853XA,"Collapsed vertebra, not elsewhere classified, cervicothoracic region, initial encounter for fracture",401,M4623 (66%); M488X3 (49%); M453 (44%); M45A3 (38%); M4633 (37%)
M4854XA,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture",401,M4624 (56%); M4622 (38%); M488X4 (36%); M4626 (36%); M454 (32%)
M4855XA,"Collapsed vertebra, not elsewhere classified, thoracolumbar region, initial encounter for fracture",401,M4625 (66%); M488X5 (49%); M455 (44%); M45A5 (38%); M4635 (37%)
M4856XA,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture",401,M4626 (57%); M4622 (38%); M488X6 (37%); M4624 (36%); M456 (33%)
M4857XA,"Collapsed vertebra, not elsewhere classified, lumbosacral region, initial encounter for fracture",401,M4627 (65%); M488X7 (48%); M457 (43%); M45A7 (37%); S329XXB (36%)
M4858XA,"Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region, initial encounter for fracture",401,M4628 (73%); M488X8 (59%); M458 (55%); M45A8 (48%); M4638 (47%)
M488X1,"Other specified spondylopathies, occipito-atlanto-axial region",93,M4621 (78%); M4851XA (68%); M4631 (60%); M4622 (18%); E1369 (18%)
M488X2,"Other specified spondylopathies, cervical region",93,M4622 (46%); M4852XA (33%); M4632 (27%); E1369 (27%); M4624 (27%)
M488X3,"Other specified spondylopathies, cervicothoracic region",93,M4623 (62%); M4853XA (49%); M4633 (41%); M4622 (24%); E1369 (23%)
M488X4,"Other specified spondylopathies, thoracic region",93,M4624 (49%); M4854XA (36%); M4634 (30%); M4622 (27%); E1369 (26%)
M488X5,"Other specified spondylopathies, thoracolumbar region",93,M4625 (62%); M4855XA (49%); M4635 (41%); M4622 (24%); E1369 (23%)
M488X6,"Other specified spondylopathies, lumbar region",93,M4626 (50%); M4856XA (37%); M4636 (30%); M4622 (27%); E1369 (26%)
M488X7,"Other specified spondylopathies, lumbosacral region",93,M4627 (61%); M4857XA (48%); M4637 (40%); S329XXB (28%); S329XXA (28%)
M488X8,"Other specified spondylopathies, sacral and sacrococcygeal region",93,M4628 (71%); M4858XA (59%); M4638 (51%); L89152 (44%); L89153 (44%)
M488X9,"Other specified spondylopathies, site unspecified",93,C8510 (36%); C8580 (36%); S0269XB (35%); S0269XA (34%); C6990 (34%)
M4980,"Spondylopathy in diseases classified elsewhere, site unspecified",,
M4981,"Spondylopathy in diseases classified elsewhere, occipito-atlanto-axial region",,
M4982,"Spondylopathy in diseases classified elsewhere, cervical region",,
M4983,"Spondylopathy in diseases classified elsewhere, cervicothoracic region",,
M4984,"Spondylopathy in diseases classified elsewhere, thoracic region",,
M4985,"Spondylopathy in diseases classified elsewhere, thoracolumbar region",,
M4986,"Spondylopathy in diseases classified elsewhere, lumbar region",,
M4987,"Spondylopathy in diseases classified elsewhere, lumbosacral region",,
M4988,"Spondylopathy in diseases classified elsewhere, sacral and sacrococcygeal region",,
M4989,"Spondylopathy in diseases classified elsewhere, multiple sites in spine",,
M726,Necrotizing fasciitis,92,M319 (41%); M318 (38%); P779 (38%); P771 (35%); P772 (35%)
M8000XA,"Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture",,
M80011A,"Age-related osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture",,
M80012A,"Age-related osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture",,
M80019A,"Age-related osteoporosis with current pathological fracture, unspecified shoulder, initial encounter for fracture",,
M80021A,"Age-related osteoporosis with current pathological fracture, right humerus, initial encounter for fracture",,
M80022A,"Age-related osteoporosis with current pathological fracture, left humerus, initial encounter for fracture",,
M80029A,"Age-related osteoporosis with current pathological fracture, unspecified humerus, initial encounter for fracture",,
M80031A,"Age-related osteoporosis with current pathological fracture, right forearm, initial encounter for fracture",,
M80032A,"Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture",,
M80039A,"Age-related osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture",,
M80041A,"Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture",,
M80042A,"Age-related osteoporosis with current pathological fracture, left hand, initial encounter for fracture",,
M80049A,"Age-related osteoporosis with current pathological fracture, unspecified hand, initial encounter for fracture",,
M80051A,"Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture",402,M8008XA (93%); M8088XA (76%); H353210 (33%); H353230 (30%); H353220 (30%)
M80052A,"Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture",402,M8008XA (93%); M8088XA (76%); H353220 (33%); H353230 (30%); H353210 (30%)
M80059A,"Age-related osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture",402,M8008XA (93%); M8088XA (77%); H353290 (33%); H353230 (32%); H353220 (32%)
M80061A,"Age-related osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture",,
M80062A,"Age-related osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture",,
M80069A,"Age-related osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture",,
M80071A,"Age-related osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture",,
M80072A,"Age-related osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture",,
M80079A,"Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture",,
M8008XA,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",401,M80059A (93%); M80052A (93%); M80051A (93%); M80859A (77%); M80852A (76%)
M800AXA,"Age-related osteoporosis with current pathological fracture, other site, initial encounter for fracture",,
M800B1A,"Age-related osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture",,
M800B2A,"Age-related osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture",,
M800B9A,"Age-related osteoporosis with current pathological fracture, unspecified pelvis, initial encounter for fracture",,
M8080XA,"Other osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture",,
M80811A,"Other osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture",,
M80812A,"Other osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture",,
M80819A,"Other osteoporosis with current pathological fracture, unspecified shoulder, initial encounter for fracture",,
M80821A,"Other osteoporosis with current pathological fracture, right humerus, initial encounter for fracture",,
M80822A,"Other osteoporosis with current pathological fracture, left humerus, initial encounter for fracture",,
M80829A,"Other osteoporosis with current pathological fracture, unspecified humerus, initial encounter for fracture",,
M80831A,"Other osteoporosis with current pathological fracture, right forearm, initial encounter for fracture",,
M80832A,"Other osteoporosis with current pathological fracture, left forearm, initial encounter for fracture",,
M80839A,"Other osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture",,
M80841A,"Other osteoporosis with current pathological fracture, right hand, initial encounter for fracture",,
M80842A,"Other osteoporosis with current pathological fracture, left hand, initial encounter for fracture",,
M80849A,"Other osteoporosis with current pathological fracture, unspecified hand, initial encounter for fracture",,
M80851A,"Other osteoporosis with current pathological fracture, right femur, initial encounter for fracture",402,M8088XA (90%); M8008XA (76%); S0211GB (32%); S0211GA (32%); S0240CB (32%)
M80852A,"Other osteoporosis with current pathological fracture, left femur, initial encounter for fracture",402,M8088XA (90%); M8008XA (76%); S0211HB (32%); S0211HA (32%); S0240DB (32%)
M80859A,"Other osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture",402,M8088XA (91%); M8008XA (77%); S02609B (34%); S02609A (33%); S22009B (33%)
M80861A,"Other osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture",,
M80862A,"Other osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture",,
M80869A,"Other osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture",,
M80871A,"Other osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture",,
M80872A,"Other osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture",,
M80879A,"Other osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture",,
M8088XA,"Other osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",401,M80859A (91%); M80852A (90%); M80851A (90%); M80059A (77%); M80052A (76%)
M808AXA,"Other osteoporosis with current pathological fracture, other site, initial encounter for fracture",,
M808B1A,"Other osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture",,
M808B2A,"Other osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture",,
M808B9A,"Other osteoporosis with current pathological fracture, unspecified pelvis, initial encounter for fracture",,
M810,Age-related osteoporosis without current pathological fracture,,
M816,Localized osteoporosis [Lequesne],,
M818,Other osteoporosis without current pathological fracture,,
M830,Puerperal osteomalacia,,
M831,Senile osteomalacia,,
M832,Adult osteomalacia due to malabsorption,,
M833,Adult osteomalacia due to malnutrition,,
M834,Aluminum bone disease,,
M835,Other drug-induced osteomalacia in adults,,
M838,Other adult osteomalacia,,
M839,"Adult osteomalacia, unspecified",,
M8440XA,"Pathological fracture, unspecified site, initial encounter for fracture",,
M84411A,"Pathological fracture, right shoulder, initial encounter for fracture",,
M84412A,"Pathological fracture, left shoulder, initial encounter for fracture",,
M84419A,"Pathological fracture, unspecified shoulder, initial encounter for fracture",,
M84421A,"Pathological fracture, right humerus, initial encounter for fracture",,
M84422A,"Pathological fracture, left humerus, initial encounter for fracture",,
M84429A,"Pathological fracture, unspecified humerus, initial encounter for fracture",,
M84431A,"Pathological fracture, right ulna, initial encounter for fracture",,
M84432A,"Pathological fracture, left ulna, initial encounter for fracture",,
M84433A,"Pathological fracture, right radius, initial encounter for fracture",,
M84434A,"Pathological fracture, left radius, initial encounter for fracture",,
M84439A,"Pathological fracture, unspecified ulna and radius, initial encounter for fracture",,
M84441A,"Pathological fracture, right hand, initial encounter for fracture",,
M84442A,"Pathological fracture, left hand, initial encounter for fracture",,
M84443A,"Pathological fracture, unspecified hand, initial encounter for fracture",,
M84444A,"Pathological fracture, right finger(s), initial encounter for fracture",,
M84445A,"Pathological fracture, left finger(s), initial encounter for fracture",,
M84446A,"Pathological fracture, unspecified finger(s), initial encounter for fracture",,
M84451A,"Pathological fracture, right femur, initial encounter for fracture",402,M8088XA (59%); M8008XA (50%); S0211GB (44%); S0211GA (44%); S0240CB (44%)
M84452A,"Pathological fracture, left femur, initial encounter for fracture",402,M8088XA (59%); M8008XA (50%); S0211HB (44%); S0211HA (44%); S0240DB (44%)
M84453A,"Pathological fracture, unspecified femur, initial encounter for fracture",402,M8088XA (60%); M8008XA (50%); S02609B (47%); S02609A (47%); S22009B (46%)
M84454A,"Pathological fracture, pelvis, initial encounter for fracture",,
M84459A,"Pathological fracture, hip, unspecified, initial encounter for fracture",402,M8088XA (57%); M8008XA (48%); S02609B (45%); S02609A (45%); S22009B (44%)
M84461A,"Pathological fracture, right tibia, initial encounter for fracture",,
M84462A,"Pathological fracture, left tibia, initial encounter for fracture",,
M84463A,"Pathological fracture, right fibula, initial encounter for fracture",,
M84464A,"Pathological fracture, left fibula, initial encounter for fracture",,
M84469A,"Pathological fracture, unspecified tibia and fibula, initial encounter for fracture",,
M84471A,"Pathological fracture, right ankle, initial encounter for fracture",,
M84472A,"Pathological fracture, left ankle, initial encounter for fracture",,
M84473A,"Pathological fracture, unspecified ankle, initial encounter for fracture",,
M84474A,"Pathological fracture, right foot, initial encounter for fracture",,
M84475A,"Pathological fracture, left foot, initial encounter for fracture",,
M84476A,"Pathological fracture, unspecified foot, initial encounter for fracture",,
M84477A,"Pathological fracture, right toe(s), initial encounter for fracture",,
M84478A,"Pathological fracture, left toe(s), initial encounter for fracture",,
M84479A,"Pathological fracture, unspecified toe(s), initial encounter for fracture",,
M8448XA,"Pathological fracture, other site, initial encounter for fracture",,
M8450XA,"Pathological fracture in neoplastic disease, unspecified site, initial encounter for fracture",,
M84511A,"Pathological fracture in neoplastic disease, right shoulder, initial encounter for fracture",,
M84512A,"Pathological fracture in neoplastic disease, left shoulder, initial encounter for fracture",,
M84519A,"Pathological fracture in neoplastic disease, unspecified shoulder, initial encounter for fracture",,
M84521A,"Pathological fracture in neoplastic disease, right humerus, initial encounter for fracture",,
M84522A,"Pathological fracture in neoplastic disease, left humerus, initial encounter for fracture",,
M84529A,"Pathological fracture in neoplastic disease, unspecified humerus, initial encounter for fracture",,
M84531A,"Pathological fracture in neoplastic disease, right ulna, initial encounter for fracture",,
M84532A,"Pathological fracture in neoplastic disease, left ulna, initial encounter for fracture",,
M84533A,"Pathological fracture in neoplastic disease, right radius, initial encounter for fracture",,
M84534A,"Pathological fracture in neoplastic disease, left radius, initial encounter for fracture",,
M84539A,"Pathological fracture in neoplastic disease, unspecified ulna and radius, initial encounter for fracture",,
M84541A,"Pathological fracture in neoplastic disease, right hand, initial encounter for fracture",,
M84542A,"Pathological fracture in neoplastic disease, left hand, initial encounter for fracture",,
M84549A,"Pathological fracture in neoplastic disease, unspecified hand, initial encounter for fracture",,
M84550A,"Pathological fracture in neoplastic disease, pelvis, initial encounter for fracture",,
M84551A,"Pathological fracture in neoplastic disease, right femur, initial encounter for fracture",402,M8088XA (45%); M8008XA (38%); G731 (37%); S0211GB (33%); S0211GA (33%)
M84552A,"Pathological fracture in neoplastic disease, left femur, initial encounter for fracture",402,M8088XA (45%); M8008XA (38%); G731 (37%); S0211HB (33%); S0211HA (33%)
M84553A,"Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture",402,M8088XA (45%); M8008XA (38%); G731 (37%); S02609B (35%); S02609A (35%)
M84559A,"Pathological fracture in neoplastic disease, hip, unspecified, initial encounter for fracture",402,M8088XA (44%); M8008XA (37%); G731 (36%); S02609B (35%); S02609A (34%)
M84561A,"Pathological fracture in neoplastic disease, right tibia, initial encounter for fracture",,
M84562A,"Pathological fracture in neoplastic disease, left tibia, initial encounter for fracture",,
M84563A,"Pathological fracture in neoplastic disease, right fibula, initial encounter for fracture",,
M84564A,"Pathological fracture in neoplastic disease, left fibula, initial encounter for fracture",,
M84569A,"Pathological fracture in neoplastic disease, unspecified tibia and fibula, initial encounter for fracture",,
M84571A,"Pathological fracture in neoplastic disease, right ankle, initial encounter for fracture",,
M84572A,"Pathological fracture in neoplastic disease, left ankle, initial encounter for fracture",,
M84573A,"Pathological fracture in neoplastic disease, unspecified ankle, initial encounter for fracture",,
M84574A,"Pathological fracture in neoplastic disease, right foot, initial encounter for fracture",,
M84575A,"Pathological fracture in neoplastic disease, left foot, initial encounter for fracture",,
M84576A,"Pathological fracture in neoplastic disease, unspecified foot, initial encounter for fracture",,
M8458XA,"Pathological fracture in neoplastic disease, other specified site, initial encounter for fracture",,
M8460XA,"Pathological fracture in other disease, unspecified site, initial encounter for fracture",,
M84611A,"Pathological fracture in other disease, right shoulder, initial encounter for fracture",,
M84612A,"Pathological fracture in other disease, left shoulder, initial encounter for fracture",,
M84619A,"Pathological fracture in other disease, unspecified shoulder, initial encounter for fracture",,
M84621A,"Pathological fracture in other disease, right humerus, initial encounter for fracture",,
M84622A,"Pathological fracture in other disease, left humerus, initial encounter for fracture",,
M84629A,"Pathological fracture in other disease, unspecified humerus, initial encounter for fracture",,
M84631A,"Pathological fracture in other disease, right ulna, initial encounter for fracture",,
M84632A,"Pathological fracture in other disease, left ulna, initial encounter for fracture",,
M84633A,"Pathological fracture in other disease, right radius, initial encounter for fracture",,
M84634A,"Pathological fracture in other disease, left radius, initial encounter for fracture",,
M84639A,"Pathological fracture in other disease, unspecified ulna and radius, initial encounter for fracture",,
M84641A,"Pathological fracture in other disease, right hand, initial encounter for fracture",,
M84642A,"Pathological fracture in other disease, left hand, initial encounter for fracture",,
M84649A,"Pathological fracture in other disease, unspecified hand, initial encounter for fracture",,
M84650A,"Pathological fracture in other disease, pelvis, initial encounter for fracture",,
M84651A,"Pathological fracture in other disease, right femur, initial encounter for fracture",402,M8088XA (55%); M8008XA (46%); S0211GB (41%); S0211GA (40%); S0240CB (40%)
M84652A,"Pathological fracture in other disease, left femur, initial encounter for fracture",402,M8088XA (55%); M8008XA (46%); S0211HB (41%); S0211HA (40%); S0240DB (40%)
M84653A,"Pathological fracture in other disease, unspecified femur, initial encounter for fracture",402,M8088XA (55%); M8008XA (47%); S02609B (43%); S02609A (43%); S22009B (43%)
M84659A,"Pathological fracture in other disease, hip, unspecified, initial encounter for fracture",402,M8088XA (53%); M8008XA (45%); S02609B (42%); S02609A (41%); S22009B (41%)
M84661A,"Pathological fracture in other disease, right tibia, initial encounter for fracture",,
M84662A,"Pathological fracture in other disease, left tibia, initial encounter for fracture",,
M84663A,"Pathological fracture in other disease, right fibula, initial encounter for fracture",,
M84664A,"Pathological fracture in other disease, left fibula, initial encounter for fracture",,
M84669A,"Pathological fracture in other disease, unspecified tibia and fibula, initial encounter for fracture",,
M84671A,"Pathological fracture in other disease, right ankle, initial encounter for fracture",,
M84672A,"Pathological fracture in other disease, left ankle, initial encounter for fracture",,
M84673A,"Pathological fracture in other disease, unspecified ankle, initial encounter for fracture",,
M84674A,"Pathological fracture in other disease, right foot, initial encounter for fracture",,
M84675A,"Pathological fracture in other disease, left foot, initial encounter for fracture",,
M84676A,"Pathological fracture in other disease, unspecified foot, initial encounter for fracture",,
M8468XA,"Pathological fracture in other disease, other site, initial encounter for fracture",,
M84754A,"Complete transverse atypical femoral fracture, right leg, initial encounter for fracture",402,S88911A (34%); S88011A (31%); I82511 (31%); S0211GB (30%); I82411 (30%)
M84755A,"Complete transverse atypical femoral fracture, left leg, initial encounter for fracture",402,S88912A (34%); S88012A (31%); I82512 (31%); S0211HB (30%); I82412 (30%)
M84756A,"Complete transverse atypical femoral fracture, unspecified leg, initial encounter for fracture",402,S88919A (34%); S02609B (32%); S88912A (32%); S88911A (32%); S02609A (32%)
M84757A,"Complete oblique atypical femoral fracture, right leg, initial encounter for fracture",402,S88911A (33%); S88011A (30%); I82511 (30%); S0211GB (30%); I82411 (29%)
M84758A,"Complete oblique atypical femoral fracture, left leg, initial encounter for fracture",402,S88912A (33%); S88012A (30%); I82512 (30%); S0211HB (30%); I82412 (29%)
M84759A,"Complete oblique atypical femoral fracture, unspecified leg, initial encounter for fracture",402,S88919A (33%); S02609B (31%); S88912A (31%); S88911A (31%); S02609A (31%)
M8600,"Acute hematogenous osteomyelitis, unspecified site",92,C8510 (35%); M0890 (35%); K271 (35%); C6990 (34%); C8190 (33%)
M86011,"Acute hematogenous osteomyelitis, right shoulder",92,M08811 (36%); M08911 (35%); M06811 (33%); M08011 (31%); M06211 (31%)
M86012,"Acute hematogenous osteomyelitis, left shoulder",92,M08812 (36%); M08912 (34%); M06812 (33%); M08012 (31%); M06212 (31%)
M86019,"Acute hematogenous osteomyelitis, unspecified shoulder",92,M08919 (35%); M08819 (33%); M08019 (32%); M08912 (31%); M08911 (31%)
M86021,"Acute hematogenous osteomyelitis, right humerus",92,I50811 (26%); I50813 (24%); I82411 (21%); J810 (21%); I82A11 (21%)
M86022,"Acute hematogenous osteomyelitis, left humerus",92,I82412 (21%); J810 (21%); I82A12 (20%); I82422 (20%); I82432 (20%)
M86029,"Acute hematogenous osteomyelitis, unspecified humerus",92,I219 (23%); C9501 (21%); J810 (21%); C9502 (20%); I249 (19%)
M86031,"Acute hematogenous osteomyelitis, right radius and ulna",92,I50811 (23%); I50813 (21%); I82411 (18%); J810 (18%); I82A11 (18%)
M86032,"Acute hematogenous osteomyelitis, left radius and ulna",92,I82412 (18%); J810 (18%); I82A12 (18%); I82422 (18%); I82432 (18%)
M86039,"Acute hematogenous osteomyelitis, unspecified radius and ulna",92,I219 (20%); C9501 (18%); J810 (18%); C9502 (17%); I249 (17%)
M86041,"Acute hematogenous osteomyelitis, right hand",92,M08841 (37%); M08941 (36%); M06841 (34%); M08041 (32%); M06241 (32%)
M86042,"Acute hematogenous osteomyelitis, left hand",92,M08842 (37%); M08942 (35%); M06842 (34%); M08042 (32%); M06242 (32%)
M86049,"Acute hematogenous osteomyelitis, unspecified hand",92,M08949 (36%); M08849 (34%); M08049 (33%); M08942 (32%); M08941 (32%)
M86051,"Acute hematogenous osteomyelitis, right femur",92,I50811 (30%); I50813 (28%); S728X1A (24%); I82411 (23%); J810 (23%)
M86052,"Acute hematogenous osteomyelitis, left femur",92,S728X2A (24%); I82412 (23%); J810 (23%); I82A12 (23%); S7292XA (23%)
M86059,"Acute hematogenous osteomyelitis, unspecified femur",92,I219 (26%); S7290XA (24%); C9501 (24%); J810 (24%); C9502 (23%)
